section_id,road_number,road_name,road_start,road_end,section_order,province,district,commune,management,start_km,end_km,length,width,road_class,terrain,temperature,moisture,surface_type,condition_class,pavement_age,traffic_level,traffic_growth,lanes,road_type,roughness,structural_no,aadt_motorcyle,aadt_carsmall,aadt_carmedium,aadt_delivery,aadt_4wheel,aadt_smalltruck,aadt_mediumtruck,aadt_largetruck,aadt_articulatedtruck,aadt_smallbus,aadt_mediumbus,aadt_largebus,aadt_total
212TH00008-01,506C,Yên Phong - Cầu Bụt,"Xã Yên Phong, huyện Yên Định","Xã Thọ Trường, huyện Thọ Xuân",1,Thanh Hoa,YD,,2,0,10.77,10.77,3.5,6,1,1,4,3,4,7,6,4,1,1,12,4,1000,100,180,80,80,300,120,40,0,80,20,0,2000
212TH00009-01,508,Hà Ninh - Ngã ba Hạnh,"Xã Hà Ninh, huyện Hà Trung","Xã Nga Hưng, huyện Nga Sơn",1,Thanh Hoa,HT,,2,0,1.1,1.1,7.5,6,1,1,4,3,3,7,5,4,3,1,7,3,375,37.5,67.5,30,30,112.5,45,15,0,30,7.5,0,750
212TH00009-02,508,Hà Ninh - Ngã ba Hạnh,"Xã Hà Ninh, huyện Hà Trung","Xã Nga Hưng, huyện Nga Sơn",2,Thanh Hoa,HT,,2,1.1,9.2,8.1,5.5,6,1,1,4,3,3,7,5,4,2,1,7,3,375,37.5,67.5,30,30,112.5,45,15,0,30,7.5,0,750
212TH00009-03,508,Hà Ninh - Ngã ba Hạnh,"Xã Hà Ninh, huyện Hà Trung","Xã Nga Hưng, huyện Nga Sơn",3,Thanh Hoa,NS,,2,9.2,14,4.8,5.5,6,1,1,4,3,3,7,5,4,2,1,7,3,375,37.5,67.5,30,30,112.5,45,15,0,30,7.5,0,750
212TH00010-01,509,Nghĩa Trang - Chợ Phủ,"Xã Hoằng Trinh, huyện Hoằng Hóa","Xã Hoằng Lương, huyện Hoằng Hóa",1,Thanh Hoa,HH,,2,0,5.2,5.2,7,4,1,1,4,3,3,6,6,2,3,1,7,4,1000,100,180,80,80,300,120,40,0,80,20,0,2000
212TH00011-01,510,Hoằng Long - Hoằng Đại - Ngã tư Goòng - Chợ Vực,"Xã Hoằng Long, huyện Hoằng Hóa","Xã Hoằng Ngọc, huyện Hoằng Hóa",1,Thanh Hoa,HH,,2,0,22,22,7,3,1,1,4,3,3,6,6,1,3,1,7,4,1000,100,180,80,80,300,120,40,0,80,20,0,2000
212TH00012-01,510B,Hoằng Trường - Hoằng Phụ,"Xã Hoằng Trường, huyện Hoằng Hóa","Xã Hoằng Phụ, huyện Hoằng Hóa",1,Thanh Hoa,HH,,2,0,15,15,7,4,1,1,4,3,3,6,6,2,3,1,7,4,1000,100,180,80,80,300,120,40,0,80,20,0,2000
212TH00013-01,511,Ngã ba Môi - Núi Chẹt,"Xã Quảng Tâm, huyện Quảng Xương","Xã Quảng Lĩnh, huyện Quảng Xương",1,Thanh Hoa,QX,,2,0,14.3,14.3,7,4,1,1,4,3,3,6,6,2,3,1,7,4,1000,100,180,80,80,300,120,40,0,80,20,0,2000
212TH00014-01,512,Tân Dân - Chuồng,"Xã Tân Dân, huyện Tĩnh Gia","Xã Công Chính, huyện Nông Cống",1,Thanh Hoa,TG,,2,0,9,9,5.5,5,3,1,4,3,2,1,6,3,2,1,4,4,1000,100,180,80,80,300,120,40,0,80,20,0,2000
212TH00014-02,512,Tân Dân - Chuồng,"Xã Tân Dân, huyện Tĩnh Gia","Xã Công Chính, huyện Nông Cống",2,Thanh Hoa,NC,,2,9,13.4,4.4,5.5,5,3,1,4,3,2,1,3,3,2,1,4,1.5,113.75,5.25,12.25,3.5,3.5,22.75,7,1.75,0,3.5,1.75,0,175
212TH00014-01,512,Vạn Thiện - Tượng Sơn,"Xã Vạn Thiện, huyện Nông Cống","Xã Tượng Sơn, huyện Nông Cống",1,Thanh Hoa,NC,,2,0,13.5,13.5,3.5,6,1,1,4,3,3,6,5,4,1,1,7,3,375,37.5,67.5,30,30,112.5,45,15,0,30,7.5,0,750
212TH00016-01,513,Đường Cầu Hổ - Nghi Sơn,"Cầu Hổ, xã Mai Lâm, huyện Tĩnh Gia","Cảng Nghi Sơn, xã Nghi Sơn, huyện Tĩnh Gia",1,Thanh Hoa,TG,,2,0,14.02,14.02,11,3,1,1,4,3,3,6,6,1,4,1,7,4,1000,100,180,80,80,300,120,40,0,80,20,0,2000
212TH00017-01,514,Cầu Thiều - Thượng Ninh,"Cầu Thiều, huyện Triệu Sơn","Xã Thượng Ninh, huyện Như Xuân",1,Thanh Hoa,TS,,2,0,5,5,5.5,5,3,1,4,3,3,6,6,3,2,1,7,4,1000,100,180,80,80,300,120,40,0,80,20,0,2000
212TH00017-02,514,Cầu Thiều - Thượng Ninh,"Cầu Thiều, huyện Triệu Sơn","Xã Thượng Ninh, huyện Như Xuân",2,Thanh Hoa,NX,,2,5,33.4,28.4,3.5,5,3,1,4,3,4,6,5,3,1,1,12,3,375,37.5,67.5,30,30,112.5,45,15,0,30,7.5,0,750
212TH00018-01,514B,Ngã ba Sim - Xuân Thắng,"Xã Hợp Tiến, huyện Triệu Sơn","Xã Xuân Thắng, huyện Thọ Xuân",1,Thanh Hoa,TS,,2,0,14,14,3.5,6,3,1,4,3,3,6,6,4,1,1,7,4,1000,100,180,80,80,300,120,40,0,80,20,0,2000
212TH00019-01,515,Ngã ba Chè - Hạnh Phúc,"Xã Thiệu Đô, huyện Thiệu Hóa","Xã Hạnh Phúc, huyện Thọ Xuân",1,Thanh Hoa,TU,,2,0,11.678,11.678,3.5,6,1,1,4,3,4,6,3,4,1,1,12,1.5,113.75,5.25,12.25,3.5,3.5,22.75,7,1.75,0,3.5,1.75,0,175
212TH00019-02,515,Ngã ba Chè - Hạnh Phúc,"Xã Thiệu Đô, huyện Thiệu Hóa","Xã Hạnh Phúc, huyện Thọ Xuân",2,Thanh Hoa,TX,,2,11.678,20.92,9.242,5.5,5,1,1,4,3,4,6,6,3,2,1,12,4,1000,100,180,80,80,300,120,40,0,80,20,0,2000
212TH00020-01,515B,Thiệu Lý - Đông Hoàng,"Xã Thiệu Lý, huyện Thiệu Hóa","Xã Đông Hoàng, huyện Đông Sơn",1,Thanh Hoa,TU,,2,0,2,2,3.5,6,1,1,4,3,4,6,6,4,1,1,12,4,1000,100,180,80,80,300,120,40,0,80,20,0,2000
212TH00020-02,515B,Thiệu Lý - Đông Hoàng,"Xã Thiệu Lý, huyện Thiệu Hóa","Xã Đông Hoàng, huyện Đông Sơn",2,Thanh Hoa,DS,,2,2,4,2,3.5,6,1,1,4,3,4,6,6,4,1,1,12,4,1000,100,180,80,80,300,120,40,0,80,20,0,2000
212TH00021-01,515C,Đu - Thọ Vực,"Xã Thiệu Chính, huyện Thiệu Hóa","Xã Thọ Vực, huyện Triệu Sơn",1,Thanh Hoa,TU,,2,0,3.5,3.5,3.5,6,1,1,4,3,3,9,5,4,1,1,7,3,375,37.5,67.5,30,30,112.5,45,15,0,30,7.5,0,750
212TH00021-02,515C,Đu - Thọ Vực,"Xã Thiệu Chính, huyện Thiệu Hóa","Xã Thọ Vực, huyện Triệu Sơn",2,Thanh Hoa,TS,,2,3.5,4,0.5,3.5,6,1,1,4,3,3,9,5,4,1,1,7,3,375,37.5,67.5,30,30,112.5,45,15,0,30,7.5,0,750
212TH00022-01,212,Đại lộ Nam Sông Mã,TP Thanh Hóa,TX Sầm Sơn,1,Thanh Hoa,TH,,2,0,18,18,7,5,1,1,4,2,1,3,7,3,3,1,2,5,2000,200,360,160,160,600,240,80,0,160,40,0,4000
212TH00023-01,516,Kim Tân - Thạch Định - Thạch Quảng,"Thị trấn Kim Tân, huyện Thạch Thành","Xã Thạch Quảng, huyện Thạch Thành",1,Thanh Hoa,TT,,2,0,4,4,3.5,6,3,1,4,3,4,9,6,4,1,1,12,4,1000,100,180,80,80,300,120,40,0,80,20,0,2000
212TH00023-02,516,Kim Tân - Thạch Định - Thạch Quảng,"Thị trấn Kim Tân, huyện Thạch Thành","Xã Thạch Quảng, huyện Thạch Thành",2,Thanh Hoa,TT,,2,4,9,5,5.5,5,3,1,4,3,3,9,6,3,2,1,7,4,1000,100,180,80,80,300,120,40,0,80,20,0,2000
212TH00023-03,516,Kim Tân - Thạch Định - Thạch Quảng,"Thị trấn Kim Tân, huyện Thạch Thành","Xã Thạch Quảng, huyện Thạch Thành",3,Thanh Hoa,TT,,2,9,16,7,5.5,6,3,1,4,3,4,9,6,4,2,1,12,4,1000,100,180,80,80,300,120,40,0,80,20,0,2000
212TH00023-04,516,Kim Tân - Thạch Định - Thạch Quảng,"Thị trấn Kim Tân, huyện Thạch Thành","Xã Thạch Quảng, huyện Thạch Thành",4,Thanh Hoa,TT,,2,16,26.2,10.2,5.5,5,3,1,4,3,3,9,6,3,2,1,7,4,1000,100,180,80,80,300,120,40,0,80,20,0,2000
212TH00024-01,516B,Kim Tân - Vĩnh Hùng - TT Quán Lào - TT Nông trường Thống Nhất - Phố Châu,"Thị trấn Kim Tân, huyện Thạch Thành","Phố Châu, huyện Ngọc Lặc",1,Thanh Hoa,TT,,2,0,10,10,3.5,6,3,1,4,3,4,9,5,4,1,1,12,3,375,37.5,67.5,30,30,112.5,45,15,0,30,7.5,0,750
212TH00024-02,516B,Kim Tân - Vĩnh Hùng - TT Quán Lào - TT Nông trường Thống Nhất - Phố Châu,"Thị trấn Kim Tân, huyện Thạch Thành","Phố Châu, huyện Ngọc Lặc",2,Thanh Hoa,VL,,2,10,16.35,6.35,3.5,6,3,1,4,3,4,7,5,4,1,1,12,3,375,37.5,67.5,30,30,112.5,45,15,0,30,7.5,0,750
212TH00024-03,516B,Kim Tân - Vĩnh Hùng - TT Quán Lào - TT Nông trường Thống Nhất - Phố Châu,"Thị trấn Kim Tân, huyện Thạch Thành","Phố Châu, huyện Ngọc Lặc",3,Thanh Hoa,YD,,2,16.35,45.35,29,3.5,6,3,1,4,3,4,9,3,4,1,1,12,1.5,113.75,5.25,12.25,3.5,3.5,22.75,7,1.75,0,3.5,1.75,0,175
212TH00024-04,516B,Kim Tân - Vĩnh Hùng - TT Quán Lào - TT Nông trường Thống Nhất - Phố Châu,"Thị trấn Kim Tân, huyện Thạch Thành","Phố Châu, huyện Ngọc Lặc",4,Thanh Hoa,NL,,2,45.35,57.35,12,3.5,6,3,1,4,3,3,7,5,4,1,1,7,3,375,37.5,67.5,30,30,112.5,45,15,0,30,7.5,0,750
212TH00025-01,516C,Thiệu Phú - Định Thành - Định Tân,"Xã Thiệu Phú, huyện Thiệu Hóa","Xã Định Tân, huyện Yên Định",1,Thanh Hoa,TU,,2,0,8,8,3.5,6,1,1,4,3,3,3,3,4,1,1,7,1.5,113.75,5.25,12.25,3.5,3.5,22.75,7,1.75,0,3.5,1.75,0,175
212TH00026-02,516C,Thiệu Phú - Định Thành - Định Tân,"Xã Thiệu Phú, huyện Thiệu Hóa","Xã Định Tân, huyện Yên Định",2,Thanh Hoa,YD,,2,8,14,6,3.5,6,1,1,4,3,4,3,3,4,1,1,12,1.5,113.75,5.25,12.25,3.5,3.5,22.75,7,1.75,0,3.5,1.75,0,175
212TH00026-03,516C,Thiệu Phú - Định Thành - Định Tân,"Xã Thiệu Phú, huyện Thiệu Hóa","Xã Định Tân, huyện Yên Định",3,Thanh Hoa,YD,,2,14,23,9,3.5,6,1,1,4,1,3,4,6,4,1,1,7,4,1000,100,180,80,80,300,120,40,0,80,20,0,2000
212TH00026-01,516C,Định Bình - Định Thành,"Xã Định Bình, huyện Yên Định","Xã Định Thành, huyện Yên Định",1,Thanh Hoa,YD,,2,0,12.32,12.32,3.5,6,1,1,4,3,4,9,6,4,1,1,12,4,1000,100,180,80,80,300,120,40,0,80,20,0,2000
212TH00027-01,516D,Định Tiến - Yên Hùng,"Xã Định Tiến, huyện Yên Định","Xã Yên Hùng, huyện Yên Định",1,Thanh Hoa,YD,,2,0,10,10,3.5,6,1,1,4,3,4,7,6,4,1,1,12,4,1000,100,180,80,80,300,120,40,0,80,20,0,2000
212TH00027-01,516D,Định Tiến - Yên Hùng,"Xã Định Tiến, huyện Yên Định","Xã Yên Hùng, huyện Yên Định",1,Thanh Hoa,YD,,2,10,21.3,11.3,3.5,6,1,1,4,3,3,7,5,4,1,1,7,3,375,37.5,67.5,30,30,112.5,45,15,0,30,7.5,0,750
212TH00028-01,517,Cầu Trầu - Nưa,"Xã Đông Thịnh, huyện Đông Sơn","Xã Tân Ninh, huyện Triệu Sơn",1,Thanh Hoa,DS,,2,0,5.54,5.54,5.5,5,1,1,4,3,2,6,6,3,2,1,4,4,1000,100,180,80,80,300,120,40,0,80,20,0,2000
212TH00028-02,517,Cầu Trầu - Nưa,"Xã Đông Thịnh, huyện Đông Sơn","Xã Tân Ninh, huyện Triệu Sơn",2,Thanh Hoa,TS,,2,5.54,12.7,7.16,5.5,5,1,1,4,3,2,6,6,3,2,1,4,4,1000,100,180,80,80,300,120,40,0,80,20,0,2000
212TH00029-01,518,Kiểu - Ấn Đỗ,"Xã Yên Hùng, huyện Yên Định","Xã Cẩm Châu, huyện Cẩm Thủy",1,Thanh Hoa,YD,,2,0,3.8,3.8,3.5,6,1,1,4,3,3,5,5,4,1,1,7,3,375,37.5,67.5,30,30,112.5,45,15,0,30,7.5,0,750
212TH00029-02,518,Kiểu - Ấn Đỗ,"Xã Yên Hùng, huyện Yên Định","Xã Cẩm Châu, huyện Cẩm Thủy",2,Thanh Hoa,CT,,2,3.8,11.8,8,3.5,6,2,1,4,3,4,5,6,4,1,1,12,4,1000,100,180,80,80,300,120,40,0,80,20,0,2000
212TH00029-03,518,Kiểu - Ấn Đỗ,"Xã Yên Hùng, huyện Yên Định","Xã Cẩm Châu, huyện Cẩm Thủy",3,Thanh Hoa,CT,,2,11.8,23.6,11.8,3.5,6,2,1,4,3,3,5,5,4,1,1,7,3,375,37.5,67.5,30,30,112.5,45,15,0,30,7.5,0,750
212TH00030-01,518B,Cẩm Sơn - Quý Lộc - Kiểu,"Xã Cẩm Sơn, huyện Cẩm Thủy","Thị trấn Kiểu, huyện Yên Định",1,Thanh Hoa,CT,,2,0,17.27,17.27,3.5,6,3,1,4,3,3,7,5,4,1,1,7,3,375,37.5,67.5,30,30,112.5,45,15,0,30,7.5,0,750
212TH00030-02,518B,Cẩm Sơn - Quý Lộc - Kiểu,"Xã Cẩm Sơn, huyện Cẩm Thủy","Thị trấn Kiểu, huyện Yên Định",2,Thanh Hoa,YD,,2,17.27,27,9.73,3.5,6,3,1,4,3,3,7,5,4,1,1,7,3,375,37.5,67.5,30,30,112.5,45,15,0,30,7.5,0,750
212TH00031-02,519,Mục Sơn - Hón Can,"Xã Thọ Xương, huyện Thọ Xuân","Xã Xuân Mỹ, huyện Thường Xuân",2,Thanh Hoa,TN,,2,0,9.3,9.3,7,3,3,1,4,3,3,7,6,1,3,1,7,4,1000,100,180,80,80,300,120,40,0,80,20,0,2000
212TH00031-03,519,Mục Sơn - Hón Can,"Xã Thọ Xương, huyện Thọ Xuân","Xã Xuân Mỹ, huyện Thường Xuân",3,Thanh Hoa,TN,,2,9.3,24.5,15.2,3.5,6,3,1,4,3,3,7,6,4,1,1,7,4,1000,100,180,80,80,300,120,40,0,80,20,0,2000
212TH00032-01,519B,TT Sao Vàng - Bình Sơn - Luận Thành - Bù Đồn,"Xã Luận Thành, huyện Thường Xuân","TT Sao Vàng, huyện Thường Xuân",1,Thanh Hoa,TN,,2,0,10,10,3.5,6,3,1,4,3,4,7,6,4,1,1,12,4,1000,100,180,80,80,300,120,40,0,80,20,0,2000
212TH00032-02,519B,TT Sao Vàng - Bình Sơn - Luận Thành - Bù Đồn,"Xã Luận Thành, huyện Thường Xuân","TT Sao Vàng, huyện Thường Xuân",2,Thanh Hoa,TN,,2,10,57.89,47.89,3.5,6,3,1,4,3,3,7,5,4,1,1,7,3,375,37.5,67.5,30,30,112.5,45,15,0,30,7.5,0,750
212TH00033-01,521,Vạn Mai - Trung Sơn,"Xã Vạn Mai, huyện Quan Hóa","Xã Trung Sơn, huyện Quan Hóa",1,Thanh Hoa,QH,,2,0,24,24,3.5,6,3,1,4,4,4,7,2,4,1,2,16,0,56.25,1.5,3.75,0.75,0.75,9,2.25,0,0,0.75,0,0,75
212TH00034-01,522,Thành Tâm - Thành Long - Vĩnh Hưng - TT Vĩnh Lộc,"Xã Thành Tâm, huyện Thạch Thành",,1,Thanh Hoa,TT,,2,0,25.4,25.4,3.5,6,2,1,4,3,3,7,5,4,1,1,7,3,375,37.5,67.5,30,30,112.5,45,15,0,30,7.5,0,750
212TH00035-01,522B,Bỉm Sơn - Hà Long - Hà Lĩnh,Thị xã Bỉm Sơn,"Xã Hà Lĩnh, huyện Hà Trung",1,Thanh Hoa,HT,,2,0,22.6,22.6,3.5,6,1,1,4,3,3,7,6,4,1,1,7,4,1000,100,180,80,80,300,120,40,0,80,20,0,2000
212TH00036-01,523,Cầu Cừ - Kim Tân - Dốc Trầu - Thành Vinh,"Xã Hà Yên, huyện Hà Trung","Xã Thành Vinh, huyện Thạch Thành",1,Thanh Hoa,HT,,2,0,10,10,3.5,6,1,1,4,3,3,7,3,4,1,1,7,1.5,113.75,5.25,12.25,3.5,3.5,22.75,7,1.75,0,3.5,1.75,0,175
212TH00036-02,523,Cầu Cừ - Kim Tân - Dốc Trầu - Thành Vinh,"Xã Hà Yên, huyện Hà Trung","Xã Thành Vinh, huyện Thạch Thành",2,Thanh Hoa,TT,,2,10,33.3,23.3,3.5,6,3,1,4,3,3,7,5,4,1,1,7,3,375,37.5,67.5,30,30,112.5,45,15,0,30,7.5,0,750
212TH00037-01,523B,Cẩm Tú - Điền Lư,"Xã Cẩm Tú, huyện Cẩm Thủy","Xã Điền Lư, huyện Bá Thước",1,Thanh Hoa,CT,,2,0,15,15,3.5,6,3,1,4,3,3,6,5,4,1,1,7,3,375,37.5,67.5,30,30,112.5,45,15,0,30,7.5,0,750
212TH00037-02,523B,Cẩm Tú - Điền Lư,"Xã Cẩm Tú, huyện Cẩm Thủy","Xã Điền Lư, huyện Bá Thước",2,Thanh Hoa,BT,,2,15,32,17,3.5,6,3,1,4,3,3,6,5,4,1,1,7,3,375,37.5,67.5,30,30,112.5,45,15,0,30,7.5,0,750
212TH00038-01,523C,Vĩnh Long - Thạch Bình - Cẩm Ngọc,"Xã Vĩnh Long, huyện Vĩnh Lộc","Xã Cẩm Ngọc, huyện Cẩm Thủy",1,Thanh Hoa,VL,,2,0,5,5,5,6,3,1,4,3,3,6,5,4,2,1,7,3,375,37.5,67.5,30,30,112.5,45,15,0,30,7.5,0,750
212TH00038-02,523C,Vĩnh Long - Thạch Bình - Cẩm Ngọc,"Xã Vĩnh Long, huyện Vĩnh Lộc","Xã Cẩm Ngọc, huyện Cẩm Thủy",2,Thanh Hoa,TT,,2,5,12.4,7.4,5,6,3,1,4,3,3,6,5,4,2,1,7,3,375,37.5,67.5,30,30,112.5,45,15,0,30,7.5,0,750
212TH00038-03,523C,Vĩnh Long - Thạch Bình - Cẩm Ngọc,"Xã Vĩnh Long, huyện Vĩnh Lộc","Xã Cẩm Ngọc, huyện Cẩm Thủy",3,Thanh Hoa,CT,,2,12.4,23.9,11.5,5,6,3,1,4,3,3,6,5,4,2,1,7,3,375,37.5,67.5,30,30,112.5,45,15,0,30,7.5,0,750
212TH00039-01,524,Cầu Báo Văn - Ngã tư sy - Nga Phú,"Xã Nga Lĩnh, huyện Nga Sơn","Xã Nga Phú, huyện Nga Sơn",1,Thanh Hoa,NS,,2,0,24.5,24.5,3.5,6,1,1,4,3,3,6,6,4,1,1,7,4,1000,100,180,80,80,300,120,40,0,80,20,0,2000
212TH00040-01,525,Chợ Kho - Minh Thọ,"Xã Hải Ninh, huyện Tĩnh Gia","Xã Minh Thọ, huyện Nông Cống",1,Thanh Hoa,TG,,2,0,7.2,7.2,3.5,6,1,1,4,3,3,6,5,4,1,1,7,3,375,37.5,67.5,30,30,112.5,45,15,0,30,7.5,0,750
212TH00040-02,525,Chợ Kho - Minh Thọ,"Xã Hải Ninh, huyện Tĩnh Gia","Xã Minh Thọ, huyện Nông Cống",2,Thanh Hoa,NC,,2,7.2,20,12.8,3.5,6,1,1,4,3,3,6,5,4,1,1,7,3,375,37.5,67.5,30,30,112.5,45,15,0,30,7.5,0,750
212TH00041-01,525,Thăng Thọ - Tượng Văn,"Xã Thăng Thọ, huyện Nông Cống","Xã Tượng Văn, huyện Nông Cống",1,Thanh Hoa,NC,,2,0,10.3,10.3,3.5,6,1,1,4,3,3,6,5,4,1,1,7,3,375,37.5,67.5,30,30,112.5,45,15,0,30,7.5,0,750
212TH00042-01,526,Hoa Lộc - Minh Lộc - Hải Lộc - Đa Lộc,"Xã Hoa Lộc, huyện Hậu Lộc","Xã Ngư Lộc, huyện Hậu Lộc",1,Thanh Hoa,HL,,2,0,10,10,3.5,6,1,1,4,3,3,6,3,4,1,1,7,1.5,113.75,5.25,12.25,3.5,3.5,22.75,7,1.75,0,3.5,1.75,0,175
212TH00042-01,526,Hoa Lộc - Minh Lộc - Hải Lộc - Đa Lộc,"Xã Hoa Lộc, huyện Hậu Lộc","Xã Ngư Lộc, huyện Hậu Lộc",1,Thanh Hoa,HL,,2,10,30.5,20.5,3.5,6,1,1,4,3,3,2,6,4,1,1,7,4,1000,100,180,80,80,300,120,40,0,80,20,0,2000
212TH00043-01,526B,Hậu Lộc - Quán Dốc,"Thị trấn Hậu Lộc, huyện Hậu Lộc","Thị trấn Quán Dốc, huyện Hậu Lộc",1,Thanh Hoa,HL,,2,0,7.8,7.8,3.5,6,1,1,4,3,4,6,5,4,1,1,12,3,375,37.5,67.5,30,30,112.5,45,15,0,30,7.5,0,750
212TH00044-01,527,Cầu Hà Lan - Thị trấn Nga Sơn,Thị xã Bỉm Sơn,"Thị trấn Nga Sơn, huyện Nga Sơn",1,Thanh Hoa,NS,,2,0,11.64,11.64,9.5,3,1,1,4,3,3,6,6,1,4,1,7,4,1000,100,180,80,80,300,120,40,0,80,20,0,2000
212TH00045-01,527B,Tứ Thôn - Mộng Giường,"Tứ Thôn, huyện Nga Sơn","Mộng Giường, huyện Nga Sơn",1,Thanh Hoa,NS,,2,0,13.5,13.5,3.5,6,1,1,4,3,3,6,5,4,1,1,7,3,375,37.5,67.5,30,30,112.5,45,15,0,30,7.5,0,750
212TH00046-01,527C,Thị trấn Hà Trung - Hà Lan,"Thị trấn Hà Trung, huyện Hà Trung","Xã Hà Lan, huyện Hà Trung",1,Thanh Hoa,HT,,2,0,11.4,11.4,3.5,6,1,1,4,3,3,6,5,4,1,1,7,3,375,37.5,67.5,30,30,112.5,45,15,0,30,7.5,0,750
212TH00047-01,528,Quán Lào - Sét - Dốc Lê,"Xã Định Tường, huyện Yên Định","Xã Yên Thái, huyện Yên Định",1,Thanh Hoa,YD,,2,0,8,8,3.5,4,1,1,4,3,3,6,6,2,1,1,7,4,1000,100,180,80,80,300,120,40,0,80,20,0,2000
212TH00048-01,529,Thanh Tân - Bò Lăn,"Xã Thanh Tân, huyện Như Thanh","Bò Lăn, xã Thanh Tân, huyện Như Thanh",1,Thanh Hoa,NT,,2,0,10.5,10.5,3.5,6,3,1,4,3,2,6,5,4,1,1,4,3,375,37.5,67.5,30,30,112.5,45,15,0,30,7.5,0,750
212TH00049-01,530,Lang Chánh - Yên Khương,"Thị trấn Lang Chánh, huyện Lang Chánh","Xã Yên Khương, huyện Lang Chánh",1,Thanh Hoa,LC,,2,0,2,2,7.5,5,3,1,4,3,3,6,3,3,3,1,7,1.5,113.75,5.25,12.25,3.5,3.5,22.75,7,1.75,0,3.5,1.75,0,175
212TH00049-02,530,Lang Chánh - Yên Khương,"Thị trấn Lang Chánh, huyện Lang Chánh","Xã Yên Khương, huyện Lang Chánh",2,Thanh Hoa,LC,,2,2,43.7,41.7,3.5,6,3,1,4,3,3,6,3,4,1,1,7,1.5,113.75,5.25,12.25,3.5,3.5,22.75,7,1.75,0,3.5,1.75,0,175
